"symbol"	"ensembl"	"entrezgeneid"	"human_mirbase_id"	"human_mirbase_name"	"name"	"chr"	"strand"
"57"	NA	NA	NA	"MI0000108"	"hsa-mir-103a-2"	NA	NA	NA
"58"	NA	NA	NA	"MIMAT0009196"	"hsa-miR-103a-2-5p"	NA	NA	NA
"59"	"MIR103A1"	"ENSG00000199035"	406895	NA	NA	"microRNA 103a-1"	"chr5"	"-"
"60"	"MIR103A2"	"ENSG00000199024"	406896	NA	NA	"microRNA 103a-2"	"chr20"	"+"
"61"	NA	NA	NA	"MIMAT0007402"	"hsa-miR-103b"	NA	NA	NA
"62"	NA	NA	NA	"MIMAT0007402_1"	"hsa-miR-103b"	NA	NA	NA
"63"	NA	NA	NA	"MI0007261"	"hsa-mir-103b-1"	NA	NA	NA
"64"	NA	NA	NA	"MI0007262"	"hsa-mir-103b-2"	NA	NA	NA
"65"	"MIR103B1"	"ENSG00000283612"	100302238	NA	NA	"microRNA 103b-1"	"chr5"	"+"
"66"	"MIR103B2"	"ENSG00000283320"	100302282	NA	NA	"microRNA 103b-2"	"chr20"	"-"
"67"	"MIR10400"	NA	113218512	"MIMAT0041631"	"hsa-miR-10400-5p"	"microRNA 10400"	NA	NA
"68"	"MIR10400"	NA	113218512	"MI0033424"	"hsa-mir-10400"	"microRNA 10400"	NA	NA
"69"	"MIR10400"	NA	113218512	"MIMAT0041632"	"hsa-miR-10400-3p"	"microRNA 10400"	NA	NA
"70"	"MIR10401"	NA	114482364	"MIMAT0041633_2"	"hsa-miR-10401-5p"	"microRNA mir-10401"	NA	NA
"71"	"MIR10401"	NA	114482364	"MI0033425_3"	"hsa-mir-10401"	"microRNA mir-10401"	NA	NA
"72"	"MIR10401"	NA	114482364	"MI0033425_4"	"hsa-mir-10401"	"microRNA mir-10401"	NA	NA
"73"	"MIR10401"	NA	114482364	"MIMAT0041634"	"hsa-miR-10401-3p"	"microRNA mir-10401"	NA	NA
"74"	"MIR10401"	NA	114482364	"MIMAT0041633_3"	"hsa-miR-10401-5p"	"microRNA mir-10401"	NA	NA
"75"	"MIR10401"	NA	114482364	"MIMAT0041633"	"hsa-miR-10401-5p"	"microRNA mir-10401"	NA	NA
"76"	"MIR10401"	NA	114482364	"MIMAT0041634_3"	"hsa-miR-10401-3p"	"microRNA mir-10401"	NA	NA
"77"	"MIR10401"	NA	114482364	"MIMAT0041633_1"	"hsa-miR-10401-5p"	"microRNA mir-10401"	NA	NA
"78"	"MIR10401"	NA	114482364	"MI0033425_2"	"hsa-mir-10401"	"microRNA mir-10401"	NA	NA
"79"	"MIR10401"	NA	114482364	"MIMAT0041634_1"	"hsa-miR-10401-3p"	"microRNA mir-10401"	NA	NA
"80"	"MIR10401"	NA	114482364	"MI0033425"	"hsa-mir-10401"	"microRNA mir-10401"	NA	NA
"81"	"MIR10401"	NA	114482364	"MIMAT0041634_2"	"hsa-miR-10401-3p"	"microRNA mir-10401"	NA	NA
"82"	NA	NA	NA	"MIMAT0000102_1"	"hsa-miR-105-5p"	NA	NA	NA
"83"	NA	NA	NA	"MIMAT0000102"	"hsa-miR-105-5p"	NA	NA	NA
"84"	NA	NA	NA	"MIMAT0004516_1"	"hsa-miR-105-3p"	NA	NA	NA
"85"	NA	NA	NA	"MIMAT0004516"	"hsa-miR-105-3p"	NA	NA	NA
"86"	"MIR105-1"	"ENSG00000207957"	406897	"MI0000111"	"hsa-mir-105-1"	"microRNA 105-1"	"chrX"	"-"
"87"	"MIR105-2"	"ENSG00000207818"	406898	"MI0000112"	"hsa-mir-105-2"	"microRNA 105-2"	"chrX"	"-"
"88"	"MIR10522"	NA	113218490	"MI0033668"	"hsa-mir-10522"	"microRNA 10522"	NA	NA
"89"	"MIR10522"	NA	113218490	"MIMAT0041991"	"hsa-miR-10522-5p"	"microRNA 10522"	NA	NA
"90"	"MIR10523"	NA	113218510	"MIMAT0041992"	"hsa-miR-10523-5p"	"microRNA 10523"	NA	NA
"91"	"MIR10523"	NA	113218510	"MI0033669"	"hsa-mir-10523"	"microRNA 10523"	NA	NA
"92"	"MIR10524"	NA	113218491	"MIMAT0041994"	"hsa-miR-10524-5p"	"microRNA 10524"	NA	NA
"93"	"MIR10524"	NA	113218491	"MI0033671"	"hsa-mir-10524"	"microRNA 10524"	NA	NA
"94"	"MIR10525"	NA	113218504	"MI0033672"	"hsa-mir-10525"	"microRNA 10525"	NA	NA
"95"	"MIR10525"	NA	113218504	"MIMAT0041995"	"hsa-miR-10525-3p"	"microRNA 10525"	NA	NA
"96"	"MIR10526"	NA	113218492	"MI0033673"	"hsa-mir-10526"	"microRNA 10526"	NA	NA
"97"	"MIR10526"	NA	113218492	"MIMAT0041996"	"hsa-miR-10526-3p"	"microRNA 10526"	NA	NA
"98"	"MIR10527"	NA	113218505	"MIMAT0041997"	"hsa-miR-10527-5p"	"microRNA 10527"	"chr12"	"+"
"99"	"MIR10527"	NA	113218505	"MI0033674"	"hsa-mir-10527"	"microRNA 10527"	"chr12"	"+"
"100"	NA	NA	NA	"MIMAT0000103"	"hsa-miR-106a-5p"	NA	NA	NA
"101"	NA	NA	NA	"MI0000113"	"hsa-mir-106a"	NA	NA	NA
"102"	NA	NA	NA	"MIMAT0004517"	"hsa-miR-106a-3p"	NA	NA	NA
"103"	"MIR106A"	"ENSG00000284157"	406899	NA	NA	"microRNA 106a"	"chrX"	"-"
"104"	NA	NA	NA	"MIMAT0000680"	"hsa-miR-106b-5p"	NA	NA	NA
"105"	NA	NA	NA	"MI0000734"	"hsa-mir-106b"	NA	NA	NA
"106"	NA	NA	NA	"MIMAT0004672"	"hsa-miR-106b-3p"	NA	NA	NA
"107"	"MIR106B"	"ENSG00000208036"	406900	NA	NA	"microRNA 106b"	"chr7"	"-"
"108"	"MIR107"	"ENSG00000198997"	406901	"MI0000114"	"hsa-mir-107"	"microRNA 107"	"chr10"	"-"
"109"	"MIR107"	"ENSG00000198997"	406901	"MIMAT0000104"	"hsa-miR-107"	"microRNA 107"	"chr10"	"-"
"112"	NA	NA	NA	"MI0000266"	"hsa-mir-10a"	NA	NA	NA
"113"	NA	NA	NA	"MIMAT0000253"	"hsa-miR-10a-5p"	NA	NA	NA
"114"	NA	NA	NA	"MIMAT0004555"	"hsa-miR-10a-3p"	NA	NA	NA
"115"	"MIR10A"	"ENSG00000284038"	406902	NA	NA	"microRNA 10a"	"chr17"	"-"
"116"	NA	NA	NA	"MI0000267"	"hsa-mir-10b"	NA	NA	NA
"117"	NA	NA	NA	"MIMAT0004556"	"hsa-miR-10b-3p"	NA	NA	NA
"118"	NA	NA	NA	"MIMAT0000254"	"hsa-miR-10b-5p"	NA	NA	NA
"119"	"MIR10B"	"ENSG00000207744"	406903	NA	NA	"microRNA 10b"	"chr2"	"+"
"120"	"MIR11181"	NA	113218493	"MIMAT0043996"	"hsa-miR-11181-5p"	"microRNA 11181"	NA	NA
"121"	"MIR11181"	NA	113218493	"MIMAT0043997"	"hsa-miR-11181-3p"	"microRNA 11181"	NA	NA
"122"	"MIR11181"	NA	113218493	"MI0035972"	"hsa-mir-11181"	"microRNA 11181"	NA	NA
"123"	"MIR11399"	NA	113218506	"MI0036558"	"hsa-mir-11399"	"microRNA 11399"	NA	NA
"124"	"MIR11399"	NA	113218506	"MIMAT0044656"	"hsa-miR-11399"	"microRNA 11399"	NA	NA
"125"	"MIR11400"	NA	113839523	"MIMAT0044657"	"hsa-miR-11400"	"microRNA 11400"	NA	NA
"126"	"MIR11400"	NA	113839523	"MI0036559"	"hsa-mir-11400"	"microRNA 11400"	NA	NA
"127"	"MIR11401"	NA	113218509	"MIMAT0044658"	"hsa-miR-11401"	"microRNA 11401"	NA	NA
"128"	"MIR11401"	NA	113218509	"MI0036560"	"hsa-mir-11401"	"microRNA 11401"	NA	NA
"129"	"MIR1178"	"ENSG00000283768"	100302274	"MI0006271"	"hsa-mir-1178"	"microRNA 1178"	"chr12"	"-"
"130"	"MIR1178"	"ENSG00000283768"	100302274	"MIMAT0022940"	"hsa-miR-1178-5p"	"microRNA 1178"	"chr12"	"-"
"131"	"MIR1178"	"ENSG00000283768"	100302274	"MIMAT0005823"	"hsa-miR-1178-3p"	"microRNA 1178"	"chr12"	"-"
"132"	"MIR1179"	"ENSG00000221630"	100302235	"MIMAT0005824"	"hsa-miR-1179"	"microRNA 1179"	"chr15"	"+"
"133"	"MIR1179"	"ENSG00000221630"	100302235	"MI0006272"	"hsa-mir-1179"	"microRNA 1179"	"chr15"	"+"
"134"	"MIR1180"	"ENSG00000221540"	100302256	"MIMAT0026735"	"hsa-miR-1180-5p"	"microRNA 1180"	"chr17"	"-"
"135"	"MIR1180"	"ENSG00000221540"	100302256	"MI0006273"	"hsa-mir-1180"	"microRNA 1180"	"chr17"	"-"
"136"	"MIR1180"	"ENSG00000221540"	100302256	"MIMAT0005825"	"hsa-miR-1180-3p"	"microRNA 1180"	"chr17"	"-"
"137"	"MIR1181"	"ENSG00000284268"	100302213	"MI0006274"	"hsa-mir-1181"	"microRNA 1181"	"chr19"	"-"
"138"	"MIR1181"	"ENSG00000284268"	100302213	"MIMAT0005826"	"hsa-miR-1181"	"microRNA 1181"	"chr19"	"-"
"139"	"MIR1182"	"ENSG00000283799"	100302132	"MI0006275"	"hsa-mir-1182"	"microRNA 1182"	"chr1"	"-"
"140"	"MIR1182"	"ENSG00000283799"	100302132	"MIMAT0005827"	"hsa-miR-1182"	"microRNA 1182"	"chr1"	"-"
"143"	"MIR1183"	"ENSG00000221783"	100302122	"MI0006276"	"hsa-mir-1183"	"microRNA 1183"	"chr7"	"+"
"144"	"MIR1183"	"ENSG00000221783"	100302122	"MIMAT0005828"	"hsa-miR-1183"	"microRNA 1183"	"chr7"	"+"
"145"	NA	NA	NA	"MIMAT0005829"	"hsa-miR-1184"	NA	NA	NA
"146"	NA	NA	NA	"MIMAT0005829_2"	"hsa-miR-1184"	NA	NA	NA
"147"	NA	NA	NA	"MIMAT0005829_1"	"hsa-miR-1184"	NA	NA	NA
"148"	"MIR1184-1"	"ENSG00000221533"	100302111	"MI0006277"	"hsa-mir-1184-1"	"microRNA 1184-1"	NA	NA
"149"	"MIR1184-2"	"ENSG00000221190"	100422985	"MI0015971"	"hsa-mir-1184-2"	"microRNA 1184-2"	NA	NA
"150"	"MIR1184-3"	"ENSG00000221603"	100422977	"MI0015972"	"hsa-mir-1184-3"	"microRNA 1184-3"	NA	NA
"151"	NA	NA	NA	"MIMAT0005798"	"hsa-miR-1185-5p"	NA	NA	NA
"152"	NA	NA	NA	"MIMAT0005798_1"	"hsa-miR-1185-5p"	NA	NA	NA
"153"	"MIR1185-1"	"ENSG00000221525"	100302157	"MI0003844"	"hsa-mir-1185-1"	"microRNA 1185-1"	"chr14"	"+"
"154"	"MIR1185-1"	"ENSG00000221525"	100302157	"MIMAT0022838"	"hsa-miR-1185-1-3p"	"microRNA 1185-1"	"chr14"	"+"
"155"	"MIR1185-2"	"ENSG00000221614"	100302209	"MIMAT0022713"	"hsa-miR-1185-2-3p"	"microRNA 1185-2"	"chr14"	"+"
"156"	"MIR1185-2"	"ENSG00000221614"	100302209	"MI0003821"	"hsa-mir-1185-2"	"microRNA 1185-2"	"chr14"	"+"
"157"	"MIR1193"	"ENSG00000221036"	100422837	"MIMAT0015049"	"hsa-miR-1193"	"microRNA 1193"	"chr14"	"+"
"158"	"MIR1193"	"ENSG00000221036"	100422837	"MI0014205"	"hsa-mir-1193"	"microRNA 1193"	"chr14"	"+"
"159"	"MIR1197"	"ENSG00000221745"	100302250	"MI0006656"	"hsa-mir-1197"	"microRNA 1197"	"chr14"	"+"
"160"	"MIR1197"	"ENSG00000221745"	100302250	"MIMAT0005955"	"hsa-miR-1197"	"microRNA 1197"	"chr14"	"+"
"161"	"MIR1199"	"ENSG00000284081"	102466515	"MIMAT0031119"	"hsa-miR-1199-5p"	"microRNA 1199"	"chr19"	"+"
"162"	"MIR1199"	"ENSG00000284081"	102466515	"MI0020340"	"hsa-mir-1199"	"microRNA 1199"	"chr19"	"+"
"163"	"MIR1199"	"ENSG00000284081"	102466515	"MIMAT0031120"	"hsa-miR-1199-3p"	"microRNA 1199"	"chr19"	"+"
"164"	"MIR1200"	"ENSG00000221325"	100302113	"MIMAT0005863"	"hsa-miR-1200"	"microRNA 1200"	"chr7"	"-"
"165"	"MIR1200"	"ENSG00000221325"	100302113	"MI0006332"	"hsa-mir-1200"	"microRNA 1200"	"chr7"	"-"
"166"	"MIR1202"	"ENSG00000221456"	100302259	"MI0006334"	"hsa-mir-1202"	"microRNA 1202"	"chr6"	"+"
"167"	"MIR1202"	"ENSG00000221456"	100302259	"MIMAT0005865"	"hsa-miR-1202"	"microRNA 1202"	"chr6"	"+"
"168"	"MIR1203"	"ENSG00000221739"	100302211	"MIMAT0005866"	"hsa-miR-1203"	"microRNA 1203"	"chr17"	"-"
"169"	"MIR1203"	"ENSG00000221739"	100302211	"MI0006335"	"hsa-mir-1203"	"microRNA 1203"	"chr17"	"-"
"170"	"MIR1204"	"ENSG00000283710"	100302185	"MIMAT0005868"	"hsa-miR-1204"	"microRNA 1204"	"chr8"	"+"
"171"	"MIR1204"	"ENSG00000283710"	100302185	"MI0006337"	"hsa-mir-1204"	"microRNA 1204"	"chr8"	"+"
"172"	"MIR1205"	"ENSG00000221771"	100302161	"MIMAT0005869"	"hsa-miR-1205"	"microRNA 1205"	"chr8"	"+"
"173"	"MIR1205"	"ENSG00000221771"	100302161	"MI0006338"	"hsa-mir-1205"	"microRNA 1205"	"chr8"	"+"
"174"	"MIR1206"	"ENSG00000283200"	100302170	"MIMAT0005870"	"hsa-miR-1206"	"microRNA 1206"	"chr8"	"+"
"175"	"MIR1206"	"ENSG00000283200"	100302170	"MI0006339"	"hsa-mir-1206"	"microRNA 1206"	"chr8"	"+"
"176"	"MIR1207"	"ENSG00000221176"	100302175	"MIMAT0005871"	"hsa-miR-1207-5p"	"microRNA 1207"	"chr8"	"+"
"177"	"MIR1207"	"ENSG00000221176"	100302175	"MIMAT0005872"	"hsa-miR-1207-3p"	"microRNA 1207"	"chr8"	"+"
"178"	"MIR1207"	"ENSG00000221176"	100302175	"MI0006340"	"hsa-mir-1207"	"microRNA 1207"	"chr8"	"+"
"179"	"MIR1208"	"ENSG00000221261"	100302281	"MI0006341"	"hsa-mir-1208"	"microRNA 1208"	"chr8"	"+"
"180"	"MIR1208"	"ENSG00000221261"	100302281	"MIMAT0005873"	"hsa-miR-1208"	"microRNA 1208"	"chr8"	"+"
"181"	"MIR12113"	NA	113218507	"MIMAT0049007"	"hsa-miR-12113"	"microRNA 12113"	NA	NA
"182"	"MIR12113"	NA	113218507	"MI0039715"	"hsa-mir-12113"	"microRNA 12113"	NA	NA
"183"	"MIR12114"	NA	113218480	"MI0039716"	"hsa-mir-12114"	"microRNA 12114"	NA	NA
"184"	"MIR12114"	NA	113218480	"MIMAT0049008"	"hsa-miR-12114"	"microRNA 12114"	NA	NA
"185"	"MIR12115"	NA	113219450	"MI0039717"	"hsa-mir-12115"	"microRNA 12115"	NA	NA
"186"	"MIR12115"	NA	113219450	"MIMAT0049009"	"hsa-miR-12115"	"microRNA 12115"	NA	NA
"187"	"MIR12116"	NA	113219451	"MIMAT0049010"	"hsa-miR-12116"	"microRNA 12116"	NA	NA
"188"	"MIR12116"	NA	113219451	"MI0039718"	"hsa-mir-12116"	"microRNA 12116"	NA	NA
"189"	"MIR12117"	NA	113219452	"MIMAT0049011"	"hsa-miR-12117"	"microRNA 12117"	NA	NA
"190"	"MIR12117"	NA	113219452	"MI0039719"	"hsa-mir-12117"	"microRNA 12117"	NA	NA
"191"	"MIR12118"	NA	113219469	"MI0039720"	"hsa-mir-12118"	"microRNA 12118"	NA	NA
"192"	"MIR12118"	NA	113219469	"MIMAT0049012"	"hsa-miR-12118"	"microRNA 12118"	NA	NA
"193"	"MIR12119"	NA	113219453	"MIMAT0049013"	"hsa-miR-12119"	"microRNA 12119"	NA	NA
"194"	"MIR12119"	NA	113219453	"MI0039721"	"hsa-mir-12119"	"microRNA 12119"	NA	NA
"195"	"MIR12120"	NA	113219468	"MIMAT0049014"	"hsa-miR-12120"	"microRNA 12120"	NA	NA
"196"	"MIR12120"	NA	113219468	"MI0039722"	"hsa-mir-12120"	"microRNA 12120"	NA	NA
"197"	"MIR12121"	NA	113219454	"MI0039723"	"hsa-mir-12121"	"microRNA 12121"	NA	NA
"198"	"MIR12121"	NA	113219454	"MIMAT0049015"	"hsa-miR-12121"	"microRNA 12121"	NA	NA
"199"	"MIR12122"	NA	113219455	"MIMAT0049016"	"hsa-miR-12122"	"microRNA 12122"	NA	NA
"200"	"MIR12122"	NA	113219455	"MI0039724"	"hsa-mir-12122"	"microRNA 12122"	NA	NA
"201"	"MIR12123"	NA	113219456	"MI0039725"	"hsa-mir-12123"	"microRNA 12123"	NA	NA
"202"	"MIR12123"	NA	113219456	"MIMAT0049017"	"hsa-miR-12123"	"microRNA 12123"	NA	NA
"203"	"MIR12124"	NA	113219457	"MIMAT0049018"	"hsa-miR-12124"	"microRNA 12124"	NA	NA
"204"	"MIR12124"	NA	113219457	"MI0039726"	"hsa-mir-12124"	"microRNA 12124"	NA	NA
"205"	"MIR12125"	NA	113219458	"MIMAT0049019"	"hsa-miR-12125"	"microRNA 12125"	NA	NA
"206"	"MIR12125"	NA	113219458	"MI0039727"	"hsa-mir-12125"	"microRNA 12125"	NA	NA
"207"	"MIR12126"	NA	113219459	"MIMAT0049020"	"hsa-miR-12126"	"microRNA 12126"	NA	NA
"208"	"MIR12126"	NA	113219459	"MI0039728"	"hsa-mir-12126"	"microRNA 12126"	NA	NA
"209"	"MIR12127"	NA	113219470	"MI0039729"	"hsa-mir-12127"	"microRNA 12127"	NA	NA
"210"	"MIR12127"	NA	113219470	"MIMAT0049021"	"hsa-miR-12127"	"microRNA 12127"	NA	NA
"211"	"MIR12128"	NA	113219463	"MIMAT0049022"	"hsa-miR-12128"	"microRNA 12128"	NA	NA
"212"	"MIR12128"	NA	113219463	"MI0039730"	"hsa-mir-12128"	"microRNA 12128"	NA	NA
"213"	"MIR12129"	NA	113219460	"MIMAT0049023"	"hsa-miR-12129"	"microRNA 12129"	NA	NA
"214"	"MIR12129"	NA	113219460	"MI0039731"	"hsa-mir-12129"	"microRNA 12129"	NA	NA
"215"	"MIR12130"	NA	113219464	"MI0039732"	"hsa-mir-12130"	"microRNA 12130"	NA	NA
"216"	"MIR12130"	NA	113219464	"MIMAT0049024"	"hsa-miR-12130"	"microRNA 12130"	NA	NA
"217"	"MIR12131"	NA	113219461	"MI0039733"	"hsa-mir-12131"	"microRNA 12131"	NA	NA
"218"	"MIR12131"	NA	113219461	"MIMAT0049025"	"hsa-miR-12131"	"microRNA 12131"	NA	NA
"219"	"MIR12132"	NA	113219465	"MIMAT0049026"	"hsa-miR-12132"	"microRNA 12132"	NA	NA
"220"	"MIR12132"	NA	113219465	"MI0039734"	"hsa-mir-12132"	"microRNA 12132"	NA	NA
"221"	"MIR12133"	NA	113219466	"MIMAT0049027"	"hsa-miR-12133"	"microRNA 12133"	NA	NA
"222"	"MIR12133"	NA	113219466	"MI0039735"	"hsa-mir-12133"	"microRNA 12133"	NA	NA
"223"	"MIR12135"	NA	113219462	"MIMAT0049031"	"hsa-miR-12135"	"microRNA 12135"	NA	NA
"224"	"MIR12135"	NA	113219462	"MI0039739"	"hsa-mir-12135"	"microRNA 12135"	NA	NA
"225"	"MIR12136"	NA	113219467	"MI0039740"	"hsa-mir-12136"	"microRNA 12136"	"chrM"	"-"
"226"	"MIR12136"	NA	113219467	"MIMAT0049032"	"hsa-miR-12136"	"microRNA 12136"	"chrM"	"-"
"227"	"MIR122"	"ENSG00000284440"	406906	"MIMAT0000421"	"hsa-miR-122-5p"	"microRNA 122"	"chr18"	"+"
"228"	"MIR122"	"ENSG00000284440"	406906	"MI0000442"	"hsa-mir-122"	"microRNA 122"	"chr18"	"+"
"229"	"MIR122"	"ENSG00000284440"	406906	"MIMAT0004590"	"hsa-miR-122-3p"	"microRNA 122"	"chr18"	"+"
"230"	"MIR122HG"	NA	112441433	"MIMAT0000421"	"hsa-miR-122-5p"	"MIR122 host gene"	NA	NA
"231"	"MIR122HG"	NA	112441433	"MI0000442"	"hsa-mir-122"	"MIR122 host gene"	NA	NA
"232"	"MIR122HG"	NA	112441433	"MIMAT0004590"	"hsa-miR-122-3p"	"MIR122 host gene"	NA	NA
"233"	"MIR1224"	"ENSG00000221120"	100187716	"MIMAT0005458"	"hsa-miR-1224-5p"	"microRNA 1224"	"chr3"	"+"
"234"	"MIR1224"	"ENSG00000221120"	100187716	"MIMAT0005459"	"hsa-miR-1224-3p"	"microRNA 1224"	"chr3"	"+"
"235"	"MIR1224"	"ENSG00000221120"	100187716	"MI0003764"	"hsa-mir-1224"	"microRNA 1224"	"chr3"	"+"
"236"	"MIR1225"	"ENSG00000221656"	100188847	"MIMAT0005573"	"hsa-miR-1225-3p"	"microRNA 1225"	"chr16"	"-"
"237"	"MIR1225"	"ENSG00000221656"	100188847	"MIMAT0005572"	"hsa-miR-1225-5p"	"microRNA 1225"	"chr16"	"-"
"238"	"MIR1225"	"ENSG00000221656"	100188847	"MI0006311"	"hsa-mir-1225"	"microRNA 1225"	"chr16"	"-"
